,date,code,name,industry,MA120,MA20,MA60,close,是否大于20均线,是否大于60均线,是否大于120均线
0,2021-01-05,00001,长和,综合企业,51.056,54.69,52.68,56.0,1.0,1.0,1.0
1,2021-01-06,00001,长和,综合企业,51.098,54.695,52.822,56.1,1.0,1.0,1.0
2,2021-01-07,00001,长和,综合企业,51.151,54.747,52.984,57.0,1.0,1.0,1.0
3,2021-01-08,00001,长和,综合企业,51.208,54.817,53.149,57.2,1.0,1.0,1.0
4,2021-01-11,00001,长和,综合企业,51.261,54.857,53.312,56.65,1.0,1.0,1.0
5,2021-01-12,00001,长和,综合企业,51.322,54.95,53.498,57.55,1.0,1.0,1.0
6,2021-01-13,00001,长和,综合企业,51.387,55.102,53.698,58.1,1.0,1.0,1.0
7,2021-01-14,00001,长和,综合企业,51.452,55.285,53.883,57.4,1.0,1.0,1.0
8,2021-01-15,00001,长和,综合企业,51.513,55.417,54.063,56.85,1.0,1.0,1.0
9,2021-01-18,00001,长和,综合企业,51.579,55.57,54.246,57.15,1.0,1.0,1.0
10,2021-01-19,00001,长和,综合企业,51.659,55.757,54.448,58.2,1.0,1.0,1.0
11,2021-01-20,00001,长和,综合企业,51.73,55.945,54.637,57.75,1.0,1.0,1.0
12,2021-01-21,00001,长和,综合企业,51.798,56.195,54.817,57.55,1.0,1.0,1.0
13,2021-01-22,00001,长和,综合企业,51.852,56.362,54.987,56.5,1.0,1.0,1.0
14,2021-01-25,00001,长和,综合企业,51.894,56.425,55.131,54.9,-1.0,-1.0,1.0
15,2021-01-26,00001,长和,综合企业,51.94,56.462,55.273,55.25,-1.0,-1.0,1.0
16,2021-01-27,00001,长和,综合企业,51.982,56.547,55.42,56.1,-1.0,1.0,1.0
17,2021-01-28,00001,长和,综合企业,52.019,56.557,55.528,55.15,-1.0,-1.0,1.0
18,2021-01-29,00001,长和,综合企业,52.048,56.537,55.614,53.7,-1.0,-1.0,1.0
19,2021-02-01,00001,长和,综合企业,52.097,56.507,55.652,55.05,-1.0,-1.0,1.0
20,2021-02-02,00001,长和,综合企业,52.145,56.455,55.709,54.95,-1.0,-1.0,1.0
21,2021-02-03,00001,长和,综合企业,52.173,56.345,55.768,53.9,-8.0,-5.0,63.0
22,2021-01-05,00002,中电控股,公用事业,72.544,71.455,72.044,73.45,1.0,1.0,1.0
23,2021-01-06,00002,中电控股,公用事业,72.554,71.518,72.049,72.95,1.0,1.0,1.0
