,code,name,industry
0,00091,金禧国际控股,石油及天然气
1,00196,宏华集团,石油及天然气
2,00206,华商国际海洋控股,石油及天然气
3,00228,中能控股,石油及天然气
4,00332,元亨燃气,石油及天然气
5,00342,新海能源,石油及天然气
6,00346,延长石油国际,石油及天然气
7,00353,能源国际投资,石油及天然气
8,00386,中国石油化工股份,石油及天然气
9,00467,联合能源集团,石油及天然气
10,00554,汉思能源,石油及天然气
11,00567,大昌微綫集团,石油及天然气
12,00568,山东墨龙,石油及天然气
13,00600,中国基建投资,石油及天然气
14,00632,中港石油,石油及天然气
15,00650,ＩＤＧ能源投资,石油及天然气
16,00689,长盈集团（控股）,石油及天然气
17,00702,中国油气控股,石油及天然气
18,00841,木薯资源,石油及天然气
19,00850,久康国际,石油及天然气
20,00852,海峡石油化工,石油及天然气
21,00857,中国石油股份,石油及天然气
22,00883,中国海洋石油,石油及天然气
23,00934,中石化冠德,石油及天然气
24,01033,中石化油服,石油及天然气
25,01080,胜利管道,石油及天然气
26,01101,华荣能源,石油及天然气
27,01251,华油能源,石油及天然气
28,01555,ＭＩ能源,石油及天然气
29,01621,域高国际控股,石油及天然气
30,01623,海隆控股,石油及天然气
31,01921,达力普控股,石油及天然气
32,01938,珠江钢管,石油及天然气
33,02012,阳光油砂,石油及天然气
34,02178,百勤油服,石油及天然气
35,02236,惠生工程,石油及天然气
36,02337,众诚能源,石油及天然气
37,02386,中石化炼化工程,石油及天然气
38,02686,亚美能源,石油及天然气
39,02728,金泰能源控股,石油及天然气
40,02883,中海油田服务,石油及天然气
41,03303,巨涛海洋石油服务,石油及天然气
42,03337,安东油田服务,石油及天然气
43,03395,PERSTA,石油及天然气
44,03899,中集安瑞科,石油及天然气
45,08009,华夏能源控股,石油及天然气
46,08011,百田石油,石油及天然气
47,08132,中油港燃,石油及天然气
48,08270,中国煤层气,石油及天然气
49,08347,Ｆ８企业,石油及天然气
50,08479,金泰丰国际控股,石油及天然气
51,08631,申港控股,石油及天然气
52,00061,绿领控股,煤炭
53,00065,弘海高新资源,煤炭
54,00217,中国诚通发展集团,煤炭
55,00276,蒙古能源,煤炭
56,00307,优派能源发展,煤炭
57,00578,融信资源,煤炭
58,00639,首钢资源,煤炭
59,00645,安域亚洲,煤炭
60,00704,和嘉控股,煤炭
61,00866,中国秦发,煤炭
62,00975,MONGOL,煤炭
63,01088,中国神华,煤炭
64,01131,鸿宝资源,煤炭
65,01171,兖州煤业股份,煤炭
66,01229,南南资源,煤炭
67,01277,力量能源,煤炭
68,01303,汇力资源,煤炭
69,01393,恒鼎实业,煤炭
70,01573,南方能源,煤炭
71,01733,易大宗,煤炭
72,01738,飞尚无烟煤,煤炭
73,01878,南戈壁－Ｓ,煤炭
74,01898,中煤能源,煤炭
75,01907,中国旭阳集团,煤炭
76,02798,久泰邦达能源,煤炭
77,03668,兖煤澳大利亚,煤炭
78,03948,伊泰煤炭,煤炭
79,06885,金马能源,煤炭
80,08250,丝路能源,煤炭
81,00274,中富资源,黄金及贵金属
82,00340,潼关黄金,黄金及贵金属
83,00621,坛金矿业,黄金及贵金属
84,00663,金山能源,黄金及贵金属
85,00815,中国白银集团,黄金及贵金属
86,01194,湾区黄金,黄金及贵金属
87,01712,龙资源,黄金及贵金属
88,01787,山东黄金,黄金及贵金属
