,code_num,自选股分类
0,,
1,000002,"Hold,Select"
2,000049,ROE_A
3,000088,"New,Good_Profit"
4,000333,"HillHouse,ROE_A"
5,000338,Select
6,000538,Select
7,000568,"ROA,Good_Profit"
8,000596,"ROA,Good_Profit"
9,000598,Good_Profit
10,000603,Good_Profit
11,000651,HillHouse
12,000661,Good_Profit
13,000672,"ROA,Good_Profit,ROE_A"
14,000685,New
15,000710,"ROA,Good_Profit"
16,000717,ROE_A
17,000799,Good_Profit
18,000816,Hold
19,000830,Select
20,000858,"ROA,New,Good_Profit"
21,000876,Select
22,000895,Select
23,000963,ROE_A
24,001965,New
25,001979,Good_Profit
26,002007,"ROA,New,Good_Profit"
27,002008,Select
28,002030,Select
29,002032,"ROA,Select,ROE_A"
30,002110,ROA
31,002127,"ROA,Good_Profit"
32,002146,ROE_A
33,002212,Select
34,002223,"Select,Good_Profit"
35,002236,"ROA,Select,ROE_A"
36,002405,Select
37,002415,"ROA,Good_Profit,ROE_A"
38,002439,"ROA,Good_Profit"
39,002550,Good_Profit
40,002555,"ROA,Select"
41,002595,"ROA,Good_Profit"
42,002601,Select
43,002602,Select
44,002624,Select
45,002626,Select
46,002677,"ROA,Select,Good_Profit,ROE_A"
47,002690,"ROA,New,Good_Profit"
48,002698,Good_Profit
49,002714,Select
50,002749,"ROA,Good_Profit"
51,002801,Good_Profit
52,002821,"ROA,Good_Profit,HillHouse"
53,002832,"Hold,ROA,Select,Good_Profit"
54,002833,ROE_A
55,002843,Good_Profit
56,002860,"ROA,Good_Profit"
57,002867,Good_Profit
58,002869,Select
59,002879,Good_Profit
60,002880,"ROA,Good_Profit"
61,002882,ROA
62,002883,"ROA,Good_Profit"
63,002901,"ROA,New,Good_Profit,ROE_A"
64,002912,"ROA,Good_Profit"
65,002942,ROA
66,002947,"ROA,Good_Profit"
67,002955,ROA
68,002956,ROA
69,002959,ROA
70,002960,"ROA,Select,Good_Profit"
71,003816,Good_Profit
72,127018,Hold
73,128100,Hold
74,1A0001,Hold
75,1B0300,Hold
76,1B0905,Hold
77,300003,Good_Profit
78,300015,"ROA,HillHouse"
79,300059,New
80,300122,"ROA,Good_Profit"
81,300132,ROA
82,300136,ROE_A
83,300179,Good_Profit
84,300215,Good_Profit
85,300253,Good_Profit
86,300259,Good_Profit
87,300271,Good_Profit
88,300285,Good_Profit
89,300286,"ROA,Good_Profit"
90,300316,Good_Profit
91,300326,"Select,Good_Profit,HillHouse"
92,300327,"ROA,Good_Profit"
93,300346,Good_Profit
94,300347,"ROA,Good_Profit,HillHouse"
95,300357,"ROA,New,Good_Profit,ROE_A"
96,300371,"ROA,Good_Profit"
97,300384,Good_Profit
98,300394,New
99,300401,New
100,300429,Good_Profit
101,300445,"ROA,Good_Profit"
102,300450,Good_Profit
103,300454,"ROA,Good_Profit"
104,300463,"ROA,Select,Good_Profit"
105,300470,Good_Profit
106,300474,"New,Good_Profit"
107,300480,Good_Profit
108,300482,"ROA,Good_Profit"
109,300487,Good_Profit
110,300497,Good_Profit
111,300529,"ROA,New,Good_Profit,ROE_A"
112,300546,Good_Profit
113,300559,"ROA,New,Good_Profit"
114,300572,Good_Profit
115,300577,"ROA,ROE_A"
116,300584,ROA
117,300590,"ROA,Good_Profit"
118,300594,Good_Profit
119,300595,"ROA,New,Good_Profit"
120,300596,ROA
121,300609,"ROA,Good_Profit"
122,300623,Good_Profit
123,300624,ROA
124,300628,"ROA,New,Good_Profit,ROE_A"
125,300630,"ROA,Good_Profit"
126,300639,"ROA,Good_Profit"
127,300640,ROA
128,300642,"ROA,New,Good_Profit"
129,300653,"ROA,New,Good_Profit"
130,300668,"ROA,Good_Profit"
131,300685,"ROA,Good_Profit"
132,300699,Good_Profit
133,300724,Good_Profit
134,300725,"ROA,Good_Profit"
135,300726,"New,Good_Profit"
136,300729,Select
137,300732,Good_Profit
138,300747,"ROA,Good_Profit"
139,300750,HillHouse
140,300751,Good_Profit
141,300753,"ROA,Good_Profit"
142,300758,Good_Profit
143,300760,"ROA,Good_Profit,ROE_A"
144,300761,"ROA,ROE_A"
145,300768,"ROA,Good_Profit"
146,300770,"ROA,Good_Profit"
147,300771,"ROA,Good_Profit"
148,300775,"New,Good_Profit"
149,300776,"ROA,New,Good_Profit,ROE_A"
150,300777,"ROA,New,Good_Profit"
151,300785,"ROA,Good_Profit"
152,300786,Good_Profit
153,300788,ROA
154,300789,"ROA,Good_Profit"
155,300792,"ROA,Good_Profit"
156,399001,Hold
157,399006,Hold
158,399101,Hold
159,600007,Good_Profit
160,600009,"ROA,Select,New,Good_Profit"
161,600025,Good_Profit
162,600030,Hold
163,600031,Select
164,600036,Hold
165,600048,"Hold,Select"
166,600167,"ROA,Select,New,Good_Profit"
167,600188,Select
168,600211,Good_Profit
169,600252,Good_Profit
170,600276,"ROA,Good_Profit,HillHouse,ROE_A"
171,600340,ROE_A
172,600352,Good_Profit
173,600382,"New,Good_Profit"
174,600398,Select
175,600436,"ROA,Good_Profit"
176,600519,"ROA,New,Good_Profit,ROE_A"
177,600570,Good_Profit
178,600585,"Hold,ROA,Good_Profit,HillHouse"
179,600603,Good_Profit
180,600639,"New,Good_Profit"
181,600643,"New,Good_Profit"
182,600663,Hold
183,600705,"Hold,Good_Profit"
184,600760,Hold
185,600763,"ROA,Good_Profit,ROE_A"
186,600779,"ROA,Good_Profit,ROE_A"
187,600809,"ROA,Good_Profit"
188,600886,Select
189,600887,"ROA,ROE_A"
190,600900,Select
191,600901,Select
192,600970,Select
193,601000,Good_Profit
194,601012,"Select,HillHouse"
195,601016,Select
196,601088,国企指数
197,601106,Hold
198,601155,ROE_A
199,601225,"Hold,Good_Profit"
200,601288,国企指数
201,601318,Select
202,601330,Good_Profit
203,601669,Hold
204,601766,Select
205,601800,国企指数
206,601828,Good_Profit
207,601858,Good_Profit
208,601872,Select
209,601933,Select
210,603039,Select
211,603040,"ROA,New,Good_Profit"
212,603043,ROA
213,603060,"ROA,Good_Profit"
214,603121,Good_Profit
215,603127,Good_Profit
216,603128,Hold
217,603180,ROA
218,603203,New
219,603214,ROA
220,603228,ROA
221,603232,Good_Profit
222,603267,"ROA,Good_Profit"
223,603288,"ROA,Good_Profit,ROE_A"
224,603338,"ROA,Good_Profit"
225,603359,Good_Profit
226,603365,ROA
227,603369,"ROA,Good_Profit"
228,603383,"New,Good_Profit"
229,603387,"ROA,New,Good_Profit"
230,603393,Good_Profit
231,603416,"ROA,Select,Good_Profit"
232,603429,"ROA,Good_Profit"
233,603444,"ROA,Select,New,Good_Profit,ROE_A"
234,603458,Good_Profit
235,603505,Good_Profit
236,603516,"New,Good_Profit"
237,603517,ROA
238,603568,"ROA,New,Good_Profit,ROE_A"
239,603583,"ROA,Good_Profit"
240,603589,"New,ROE_A"
241,603638,"ROA,Good_Profit"
242,603657,"ROA,Good_Profit"
243,603658,"ROA,Select,Good_Profit,ROE_A"
