,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
130,-1633.0,229.0,1862.0,-0.8770139634801289,-2.204275494156592,-681.7339110458573,143.0,0.7342657342657343,0.7546205860255447,50.0,160.0,0.0,0.0
131,-1587.0,229.0,1816.0,-0.873898678414097,-2.158112761740962,-652.8554946759978,143.0,0.7342657342657343,0.7615326821938393,50.0,165.0,0.0,0.0
129,-1555.0,218.0,1773.0,-0.8770445572476029,-2.047773652888876,-600.7954045454335,143.0,0.7272727272727273,0.7644296318739585,50.0,155.0,0.0,0.0
128,-1510.0,218.0,1728.0,-0.8738425925925926,-1.8939348841712926,-545.139637532479,143.0,0.7272727272727273,0.7712467807907892,50.0,150.0,0.0,0.0
136,-1500.0,265.0,1765.0,-0.8498583569405099,-1.4562236361489678,-437.6724731252518,143.0,0.7412587412587412,0.7766860205448861,50.0,190.0,0.0,0.0
162,-1493.0,229.0,1812.0,-0.8239514348785872,-1.635142809651687,-496.039720437777,143.0,0.7062937062937062,0.7840925524222704,55.0,160.0,0.0,0.0
137,-1489.0,265.0,1754.0,-0.8489167616875712,-1.3372883174589714,-411.39390669217124,143.0,0.7412587412587412,0.7783236563942236,50.0,195.0,0.0,0.0
132,-1482.0,229.0,1713.0,-0.8651488616462347,-2.0694159432967547,-602.4060043814756,143.0,0.7342657342657343,0.7773102930127723,50.0,170.0,0.0,0.0
161,-1471.0,218.0,1779.0,-0.8268690275435638,-1.4813458710266225,-457.47802083285086,143.0,0.7062937062937062,0.7872740419378162,55.0,155.0,0.0,0.0
163,-1447.0,229.0,1766.0,-0.8193657984144961,-1.5732260490192256,-467.1613040679175,143.0,0.7062937062937062,0.7907447577729574,55.0,165.0,0.0,0.0
160,-1426.0,218.0,1716.0,-0.831002331002331,-1.2821912581205044,-401.82225381989633,143.0,0.7062937062937062,0.7937816341287056,55.0,150.0,0.0,0.0
138,-1419.0,265.0,1684.0,-0.8426365795724465,-1.2249975567868638,-372.85048793704755,143.0,0.7412587412587412,0.7887449754354623,50.0,200.0,0.0,0.0
146,-1413.0,344.0,1757.0,-0.8042117245304496,-0.9698321453561414,-311.94672292493595,143.0,0.7412587412587412,0.7896382313532827,50.0,240.0,0.0,0.0
133,-1394.0,244.0,1640.0,-0.85,-1.8061780830187664,-525.4094502776633,143.0,0.7342657342657343,0.7905334335086401,50.0,175.0,0.0,0.0
225,-1388.0,265.0,1726.0,-0.8041714947856315,-1.0791850108948149,-331.4184911235752,143.0,0.6713286713286714,0.8102269619907027,65.0,155.0,0.0,0.0
226,-1387.0,222.0,1682.0,-0.8246135552913199,-1.1887019362294018,-354.0310038025279,143.0,0.6713286713286714,0.8103636860814876,65.0,160.0,0.0,0.0
227,-1346.0,222.0,1641.0,-0.8202315661182206,-1.1333592965733017,-329.8763923690073,143.0,0.6713286713286714,0.8159693738036642,65.0,165.0,0.0,0.0
164,-1342.0,229.0,1671.0,-0.8031119090365051,-1.4570130726733737,-416.71181377339525,143.0,0.7062937062937062,0.8059291395516993,55.0,170.0,0.0,0.0
134,-1341.0,244.0,1587.0,-0.8449905482041588,-1.709735780210628,-489.98912504805264,143.0,0.7342657342657343,0.7984973703981969,50.0,180.0,0.0,0.0
168,-1334.0,400.0,1769.0,-0.7540983606557377,-0.7230892825519419,-229.8744007892214,143.0,0.7132867132867133,0.8088003439873871,55.0,190.0,0.0,0.0
224,-1326.0,370.0,1751.0,-0.7572815533980582,-0.8347457544598341,-261.09836551510125,143.0,0.6713286713286714,0.8187038556193601,65.0,150.0,0.0,0.0
147,-1322.0,413.0,1735.0,-0.7619596541786744,-0.7854785560922651,-255.20652219221986,143.0,0.7412587412587412,0.8031859461068929,50.0,245.0,0.0,0.0
169,-1292.0,511.0,1838.0,-0.7029379760609358,-0.5356252086738894,-177.14007290108333,143.0,0.7132867132867133,0.814820123262147,55.0,195.0,0.0,0.0
148,-1261.0,459.0,1720.0,-0.733139534883721,-0.6558006718580601,-214.47245830419297,143.0,0.7412587412587412,0.8122673812714009,50.0,250.0,0.0,0.0
165,-1254.0,244.0,1598.0,-0.7847309136420526,-1.1692075081767754,-339.715259669583,143.0,0.7062937062937062,0.8186550976138829,55.0,175.0,0.0,0.0
139,-1251.0,395.0,1646.0,-0.7600243013365735,-0.8466206930511685,-267.2543386334057,143.0,0.7412587412587412,0.8137561411344351,50.0,205.0,0.0,0.0
149,-1242.0,478.0,1720.0,-0.7220930232558139,-0.6107323087610153,-201.27404601012464,143.0,0.7412587412587412,0.8150960250111657,50.0,255.0,0.0,0.0
145,-1241.0,412.0,1653.0,-0.7507562008469449,-0.7627053305572076,-251.38022963378089,143.0,0.7412587412587412,0.8152449009974692,50.0,235.0,0.0,0.0
242,-1237.0,775.0,2030.0,-0.6093596059113301,-0.0705771120164592,-25.97296083072035,143.0,0.6783216783216783,0.8327474310438074,65.0,240.0,0.0,0.0
170,-1222.0,555.0,1812.0,-0.67439293598234,-0.4220937444269892,-138.59665414595963,143.0,0.7132867132867133,0.8248530887200803,55.0,200.0,0.0,0.0
143,-1220.0,379.0,1599.0,-0.7629768605378362,-0.8487237015953043,-268.6960015562112,143.0,0.7412587412587412,0.8183712967098408,50.0,225.0,0.0,0.0
193,-1218.0,450.0,1751.0,-0.6956025128498001,-0.5724362854544142,-177.64887985215995,143.0,0.6783216783216783,0.8287883047511948,60.0,155.0,0.0,0.0
194,-1217.0,385.0,1685.0,-0.7222551928783383,-0.6775705742473452,-200.26139253111265,143.0,0.6783216783216783,0.8289288726454879,60.0,160.0,0.0,0.0
228,-1213.0,298.0,1594.0,-0.760978670012547,-0.9124750585509024,-252.97350735726624,143.0,0.6713286713286714,0.8341536778780421,65.0,170.0,0.0,0.0
141,-1211.0,421.0,1632.0,-0.7420343137254902,-0.7167418897403823,-225.70368534892015,143.0,0.7412587412587412,0.8197111805865713,50.0,215.0,0.0,0.0
232,-1196.0,662.0,1876.0,-0.6375266524520256,-0.1646821088266087,-53.024209273351275,143.0,0.6783216783216783,0.8382909680908599,65.0,190.0,0.0,0.0
166,-1186.0,291.0,1577.0,-0.7520608750792644,-1.0068411807782072,-290.94450439768605,143.0,0.7062937062937062,0.8284887924801156,55.0,180.0,0.0,0.0
135,-1185.0,244.0,1439.0,-0.8234885337039611,-1.3917081195471601,-398.01736842836567,143.0,0.7342657342657343,0.821938392186326,50.0,185.0,0.0,0.0
195,-1176.0,400.0,1659.0,-0.7088607594936709,-0.6059916638478945,-176.10678109759203,143.0,0.6783216783216783,0.8346921563114984,60.0,165.0,0.0,0.0
65,-1169.0,236.0,1437.0,-0.813500347947112,-2.0017627998873886,-501.43976860621837,143.0,0.7552447552447552,0.8003074820635463,40.0,155.0,0.0,0.0
158,-1166.0,676.0,1842.0,-0.6330076004343105,-0.46332680221732675,-152.69488071363398,143.0,0.7482517482517482,0.828125,50.0,300.0,0.0,0.0
178,-1165.0,720.0,1920.0,-0.6067708333333334,-0.08876952869952225,-32.52088611405731,143.0,0.7132867132867133,0.8330227891643974,55.0,240.0,0.0,0.0
144,-1164.0,409.0,1573.0,-0.7399872854418309,-0.7445280786368449,-238.54590128248475,143.0,0.7412587412587412,0.8267083519428317,50.0,230.0,0.0,0.0
