,最后收益,最大收益,最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
882,-4213.0,330.0,4550.0,-0.9259340659340659,-1.649856656634176,-1998.1461680615444,184.0,0.7282608695652174,0.603754008677608,70.0,180.0,40.0,0.0
873,-4157.0,284.0,4448.0,-0.9345773381294964,-1.7082554865115718,-1917.6568600660464,188.0,0.723404255319149,0.6148975791433893,70.0,170.0,50.0,0.0
884,-4136.0,303.0,4446.0,-0.9302744039586145,-1.6609539557496091,-1872.672737125363,188.0,0.723404255319149,0.616852886405959,70.0,180.0,50.0,0.0
871,-4127.0,322.0,4456.0,-0.9261669658886894,-1.6993902228621804,-2009.243259891899,184.0,0.7282608695652174,0.6118656857196755,70.0,170.0,40.0,0.0
860,-4095.0,496.0,4598.0,-0.8906046107003045,-1.6201467325234233,-1936.9288172331862,184.0,0.7228260869565217,0.6121402108862924,70.0,160.0,40.0,0.0
862,-4058.0,458.0,4523.0,-0.8971921291178422,-1.6160768883100352,-1802.037237910416,188.0,0.7180851063829787,0.6214721050164088,70.0,160.0,50.0,0.0
893,-4054.0,364.0,4425.0,-0.9161581920903955,-1.6081420728252656,-1916.1813958658508,184.0,0.7282608695652174,0.6187511790228258,70.0,190.0,40.0,0.0
915,-4015.0,461.0,4483.0,-0.8956056212357796,-1.625001784051969,-1972.2876582263825,184.0,0.7282608695652174,0.6224297302395775,70.0,210.0,40.0,0.0
851,-3981.0,448.0,4436.0,-0.8974301172227231,-1.6309546268979205,-1739.981918308176,188.0,0.7127659574468085,0.6260270091604495,70.0,150.0,50.0,0.0
904,-3898.0,400.0,4305.0,-0.905458768873403,-1.575037875950243,-1814.758680740497,184.0,0.7282608695652174,0.6334653838898321,70.0,200.0,40.0,0.0
849,-3888.0,506.0,4401.0,-0.8834355828220859,-1.6042758195395748,-1751.6822503925264,184.0,0.717391304347826,0.6291263993876184,70.0,150.0,40.0,0.0
752,-3862.0,312.0,4181.0,-0.9237024635254724,-1.6487833508960508,-1707.6672903862275,188.0,0.7287234042553191,0.6292828877521475,65.0,170.0,50.0,0.0
906,-3862.0,369.0,4238.0,-0.9112789051439358,-1.6012838548654773,-1700.4361513415374,188.0,0.723404255319149,0.6423649906890131,70.0,200.0,50.0,0.0
763,-3841.0,331.0,4179.0,-0.9191194065565925,-1.5944780332492414,-1662.683167445544,188.0,0.7287234042553191,0.6313097191390793,65.0,180.0,50.0,0.0
926,-3819.0,498.0,4324.0,-0.8832099907493062,-1.5967132683260925,-1859.0253579054138,184.0,0.7282608695652174,0.6409168081494058,70.0,220.0,40.0,0.0
895,-3777.0,339.0,4123.0,-0.9160805238903711,-1.600162681103323,-1637.5386528583801,188.0,0.723404255319149,0.6502793296089385,70.0,190.0,50.0,0.0
741,-3763.0,486.0,4256.0,-0.8841635338345865,-1.5472274340869367,-1592.047668230597,188.0,0.723404255319149,0.6362045498736146,65.0,160.0,50.0,0.0
761,-3714.0,386.0,4107.0,-0.9043097151205259,-1.5926886709786188,-1722.7288533595172,184.0,0.7336956521739131,0.6331020812685828,65.0,180.0,40.0,0.0
730,-3692.0,476.0,4175.0,-0.884311377245509,-1.555528819848076,-1533.521302956338,188.0,0.7180851063829787,0.6406617071260767,65.0,150.0,50.0,0.0
917,-3688.0,437.0,4132.0,-0.8925459825750242,-1.5604831872594656,-1594.8374129841739,188.0,0.723404255319149,0.6585661080074487,70.0,210.0,50.0,0.0
937,-3686.0,502.0,4195.0,-0.8786650774731823,-1.6116013503088409,-1822.1769449166084,184.0,0.7282608695652174,0.6534616110167893,70.0,230.0,40.0,0.0
880,-3648.0,245.0,3910.0,-0.9329923273657289,-1.7444063015156142,-1681.8017312849395,168.0,0.7083333333333334,0.6215909090909091,70.0,180.0,30.0,0.0
750,-3628.0,378.0,4013.0,-0.9040617991527535,-1.6467797145983067,-1733.8259451898716,184.0,0.7336956521739131,0.6416253716551041,65.0,170.0,40.0,0.0
739,-3596.0,552.0,4155.0,-0.8654632972322504,-1.5583572479244991,-1661.511502531159,184.0,0.7282608695652174,0.6421367948077883,65.0,160.0,40.0,0.0
869,-3585.0,245.0,3847.0,-0.9318949831037172,-1.7251269892977747,-1640.709386825005,168.0,0.7083333333333334,0.628099173553719,70.0,170.0,30.0,0.0
872,-3571.0,315.0,3893.0,-0.9172874389930645,-1.6670477031672752,-1613.977314516764,188.0,0.7074468085106383,0.6573601617406374,70.0,170.0,45.0,0.0
785,-3567.0,397.0,3971.0,-0.8982624024175271,-1.5253996702664916,-1490.4465816617185,188.0,0.7287234042553191,0.6577550429495223,65.0,200.0,50.0,0.0
772,-3555.0,420.0,3982.0,-0.8927674535409342,-1.544773465571657,-1640.7640811638237,184.0,0.7336956521739131,0.6488602576808722,65.0,190.0,40.0,0.0
883,-3555.0,323.0,3885.0,-0.915057915057915,-1.6175859442193194,-1560.866920786072,188.0,0.7074468085106383,0.6589005487628766,70.0,180.0,45.0,0.0
928,-3543.0,507.0,4057.0,-0.873305398077397,-1.5411285520955211,-1551.3313896132167,188.0,0.723404255319149,0.6720670391061452,70.0,220.0,50.0,0.0
950,-3524.0,565.0,4096.0,-0.8603515625,-1.4240709330462424,-1447.9005460633878,188.0,0.7287234042553191,0.6760081391046985,70.0,240.0,50.0,0.0
794,-3516.0,517.0,4040.0,-0.8702970297029703,-1.5653549505280555,-1696.8703435243551,184.0,0.7336956521739131,0.6527254707631318,65.0,210.0,40.0,0.0
858,-3506.0,245.0,3768.0,-0.9304670912951167,-1.5414098545709924,-1527.9236622836472,168.0,0.7023809523809523,0.6334200937011973,70.0,160.0,30.0,0.0
774,-3482.0,367.0,3856.0,-0.9030082987551867,-1.5185507908984293,-1427.5490831785614,188.0,0.7287234042553191,0.6659588842775794,65.0,190.0,50.0,0.0
948,-3449.0,603.0,4059.0,-0.8497166789849717,-1.5084931558356363,-1602.6857750255895,184.0,0.7282608695652174,0.6758158837955103,70.0,240.0,40.0,0.0
891,-3434.0,256.0,3707.0,-0.9263555435662261,-1.7077357950878091,-1550.0275301168547,168.0,0.7083333333333334,0.643698347107438,70.0,190.0,30.0,0.0
847,-3409.0,245.0,3845.0,-0.8866059817945383,-1.6220054638621302,-1637.4135353320148,168.0,0.6964285714285714,0.6407512328192214,70.0,150.0,30.0,0.0
783,-3399.0,456.0,3862.0,-0.8801139306059037,-1.5050165997622766,-1539.34136603847,184.0,0.7336956521739131,0.6643211100099108,65.0,200.0,40.0,0.0
728,-3395.0,562.0,3964.0,-0.8564581231079718,-1.5324027771651405,-1479.79389001848,184.0,0.7228260869565217,0.6598290598290598,65.0,150.0,40.0,0.0
796,-3393.0,465.0,3865.0,-0.8778783958602846,-1.4782076858874194,-1384.8478433043551,188.0,0.7287234042553191,0.6745487887269569,65.0,210.0,50.0,0.0
939,-3391.0,511.0,3909.0,-0.8674852903555896,-1.5332063819032067,-1471.6223733146835,188.0,0.723404255319149,0.686219739292365,70.0,230.0,50.0,0.0
751,-3388.0,357.0,3752.0,-0.9029850746268657,-1.5552249066032395,-1431.0020054745287,188.0,0.7180851063829787,0.6659740773721183,65.0,170.0,45.0,0.0
762,-3372.0,365.0,3744.0,-0.9006410256410257,-1.4961646200807253,-1377.8916117438366,188.0,0.7180851063829787,0.6675571386168002,65.0,180.0,45.0,0.0
861,-3342.0,489.0,3838.0,-0.8707660239708181,-1.5756355556672348,-1424.882913634911,188.0,0.7021276595744681,0.6770752521334368,70.0,160.0,45.0,0.0
631,-3341.0,427.0,3775.0,-0.8850331125827815,-1.5530487379848656,-1403.3564418342912,188.0,0.7287234042553191,0.6626016260162602,60.0,170.0,50.0,0.0
759,-3330.0,245.0,3592.0,-0.9270601336302895,-1.646191912212743,-1513.5137951637032,168.0,0.7261904761904762,0.6384174683817966,65.0,180.0,30.0,0.0
805,-3320.0,554.0,3881.0,-0.8554496263849524,-1.5302799063071213,-1583.6080432033866,184.0,0.7336956521739131,0.6721506442021804,65.0,220.0,40.0,0.0
642,-3320.0,446.0,3773.0,-0.8799363901404718,-1.491740591165727,-1358.372318893608,188.0,0.7287234042553191,0.6647357723577236,60.0,180.0,50.0,0.0
959,-3312.0,624.0,3943.0,-0.8399695663200608,-1.492444244087309,-1530.7427758916951,184.0,0.7282608695652174,0.688737973967176,70.0,250.0,40.0,0.0
961,-3305.0,586.0,3898.0,-0.8478707029245767,-1.4070474131151298,-1331.8840946880398,188.0,0.7287234042553191,0.6962634110247873,70.0,250.0,50.0,0.0
916,-3304.0,454.0,3765.0,-0.8775564409030544,-1.580124456858847,-1457.6617788049596,188.0,0.7074468085106383,0.6830653701742563,70.0,210.0,45.0,0.0
850,-3272.0,503.0,3782.0,-0.8651507139079851,-1.5447625590151268,-1332.5530617065524,188.0,0.6968085106382979,0.681516217272372,70.0,150.0,45.0,0.0
748,-3267.0,245.0,3529.0,-0.925758005100595,-1.6238968069722002,-1472.4214507037686,168.0,0.7261904761904762,0.6452275429683277,65.0,170.0,30.0,0.0
854,-3265.0,276.0,3587.0,-0.9102313911346529,-2.1346381805624204,-1688.397491535786,194.0,0.6958762886597938,0.6958728964933723,70.0,150.0,65.0,0.0
396,-3263.0,245.0,3525.0,-0.9256737588652483,-1.7926269550094431,-1483.4507917687545,168.0,0.7738095238095238,0.5889139704038124,50.0,180.0,30.0,0.0
620,-3252.0,591.0,3850.0,-0.8446753246753247,-1.443624980503763,-1297.1020198324295,188.0,0.723404255319149,0.669462915601023,60.0,160.0,50.0,0.0
807,-3248.0,535.0,3790.0,-0.8569920844327177,-1.459388390890051,-1341.3418199333978,188.0,0.7287234042553191,0.688543576874819,65.0,220.0,50.0,0.0
894,-3236.0,357.0,3600.0,-0.8988888888888888,-1.5491782792913127,-1358.326498663789,188.0,0.7074468085106383,0.6896120150187736,70.0,190.0,45.0,0.0
829,-3229.0,593.0,3829.0,-0.8433011230086185,-1.3297700427275299,-1237.910976383569,188.0,0.7340425531914894,0.6925141378318795,65.0,240.0,50.0,0.0
874,-3224.0,231.0,3546.0,-0.9091934574168077,-1.9015042168599572,-1744.7079649296695,192.0,0.703125,0.6968291528632277,70.0,170.0,55.0,0.0
902,-3217.0,269.0,3503.0,-0.9183556951184699,-1.6789421012094756,-1407.6894802903075,168.0,0.7083333333333334,0.6661157024793388,70.0,200.0,30.0,0.0
268,-3201.0,305.0,3513.0,-0.9111870196413322,-1.6466675193658071,-1458.9528319801398,188.0,0.7606382978723404,0.6334293948126801,45.0,170.0,50.0,0.0
279,-3196.0,324.0,3527.0,-0.9061525375673377,-1.5827219284079808,-1421.8379178264918,188.0,0.7606382978723404,0.6340057636887607,45.0,180.0,50.0,0.0
913,-3195.0,276.0,3488.0,-0.9159977064220184,-1.6860696759795224,-1427.629038159595,168.0,0.7083333333333334,0.6683884297520661,70.0,210.0,30.0,0.0
863,-3194.0,319.0,3594.0,-0.8887033945464663,-1.796751895347473,-1699.307022866115,192.0,0.6979166666666666,0.6975214489990468,70.0,160.0,55.0,0.0
737,-3188.0,245.0,3450.0,-0.9240579710144927,-1.4338660004965156,-1359.635726162411,168.0,0.7202380952380952,0.6509372275501307,65.0,160.0,30.0,0.0
816,-3187.0,558.0,3752.0,-0.8494136460554371,-1.5445772994452576,-1546.7596302145812,184.0,0.7336956521739131,0.6853320118929633,65.0,230.0,40.0,0.0
609,-3181.0,581.0,3769.0,-0.8439904483947996,-1.4469609374450085,-1238.5756545581703,188.0,0.7180851063829787,0.6743946419371458,60.0,150.0,50.0,0.0
852,-3163.0,309.0,3535.0,-0.8947666195190948,-1.8445168311672508,-1665.1173272072956,192.0,0.6979166666666666,0.7004766444232602,70.0,150.0,55.0,0.0
740,-3159.0,531.0,3697.0,-0.854476602650798,-1.4469871316178138,-1241.9076045926756,188.0,0.7127659574468085,0.6863038277511961,65.0,160.0,45.0,0.0
385,-3157.0,245.0,3419.0,-0.9233694062591401,-1.7601414403081754,-1412.7687359026256,168.0,0.7738095238095238,0.6022071733132681,50.0,170.0,30.0,0.0
510,-3149.0,427.0,3583.0,-0.8788724532514652,-1.5152176233662507,-1341.8819363713417,188.0,0.7340425531914894,0.6696937697993663,55.0,170.0,50.0,0.0
138,-3148.0,232.0,3494.0,-0.9009730967372639,-2.1735099250378807,-1775.1210417351754,194.0,0.7989690721649485,0.6158476658476658,40.0,160.0,60.0,0.0
521,-3142.0,446.0,3595.0,-0.8739916550764951,-1.4512306195092763,-1303.4140031216855,188.0,0.7340425531914894,0.6704329461457234,55.0,180.0,50.0,0.0
949,-3141.0,596.0,3744.0,-0.8389423076923077,-1.4135526562918013,-1297.5160831646665,188.0,0.7127659574468085,0.7008318194856106,70.0,240.0,45.0,0.0
927,-3141.0,491.0,3639.0,-0.8631492168178071,-1.53390543193886,-1361.6827089190353,188.0,0.7074468085106383,0.6987580629633195,70.0,220.0,45.0,0.0
924,-3132.0,290.0,3439.0,-0.910729863332364,-1.6520256158343711,-1376.8759153161748,168.0,0.7083333333333334,0.6748966942148761,70.0,220.0,30.0,0.0
795,-3121.0,496.0,3624.0,-0.8612030905077263,-1.4568901617145276,-1274.686469762724,188.0,0.7180851063829787,0.6923914118927476,65.0,210.0,45.0,0.0
770,-3116.0,256.0,3389.0,-0.919445264089702,-1.600387797960913,-1381.7395939956186,168.0,0.7261904761904762,0.661550102691601,65.0,190.0,30.0,0.0
905,-3102.0,393.0,3502.0,-0.8857795545402627,-1.5044585438841585,-1270.390345006461,188.0,0.7074468085106383,0.702512756330028,70.0,200.0,45.0,0.0
640,-3101.0,464.0,3572.0,-0.8681410974244121,-1.5226817722312713,-1391.8481026728853,184.0,0.7336956521739131,0.6740529703492666,60.0,180.0,40.0,0.0
818,-3096.0,539.0,3642.0,-0.8500823723228995,-1.4462697967875289,-1261.6328036348648,188.0,0.7287234042553191,0.7032139754849918,65.0,230.0,50.0,0.0
127,-3096.0,232.0,3424.0,-0.9042056074766355,-2.1574754023728473,-1691.2508834740563,194.0,0.7989690721649485,0.6222358722358723,40.0,150.0,60.0,0.0
729,-3095.0,545.0,3647.0,-0.8486427200438716,-1.3984205009548998,-1153.1067069922976,188.0,0.7074468085106383,0.6905239911664325,65.0,150.0,45.0,0.0
938,-3093.0,495.0,3595.0,-0.8603616133518777,-1.5750881177650293,-1387.9642766165375,188.0,0.7074468085106383,0.7033792240300375,70.0,230.0,45.0,0.0
726,-3091.0,245.0,3550.0,-0.8707042253521127,-1.5214342930447204,-1469.1255992107785,168.0,0.7142857142857143,0.6587563172929026,65.0,150.0,30.0,0.0
407,-3089.0,256.0,3362.0,-0.9187983343248066,-1.7692769705904499,-1378.874016368007,168.0,0.7738095238095238,0.6107348883872586,50.0,190.0,30.0,0.0
389,-3083.0,277.0,3367.0,-0.9156519156519156,-1.5767002308659206,-1341.871570893293,188.0,0.7446808510638298,0.6635534556642126,50.0,170.0,50.0,0.0
400,-3076.0,296.0,3379.0,-0.9103284995560816,-1.5052249044047585,-1303.403637643637,188.0,0.7446808510638298,0.6643226019118778,50.0,180.0,50.0,0.0
853,-3070.0,228.0,3361.0,-0.9134186254091045,-2.1232054310070096,-1520.682495866314,194.0,0.6907216494845361,0.7089537991599847,70.0,150.0,60.0,0.0
509,-3068.0,479.0,3554.0,-0.863252673044457,-1.587135912874245,-1411.656656276487,188.0,0.7393617021276596,0.6721733533576486,55.0,170.0,45.0,0.0
278,-3064.0,348.0,3419.0,-0.896168470312957,-1.5831208128004821,-1487.9616505101687,188.0,0.7659574468085106,0.6443719412724307,45.0,180.0,45.0,0.0
267,-3062.0,340.0,3409.0,-0.8982106189498387,-1.6345075257840573,-1532.2718737986836,188.0,0.7659574468085106,0.6446049871824749,45.0,170.0,45.0,0.0
374,-3058.0,260.0,3335.0,-0.9169415292353823,-1.5422916523530525,-1288.9781389381637,168.0,0.7678571428571429,0.611455304083955,50.0,160.0,30.0,0.0
773,-3053.0,399.0,3459.0,-0.882625036137612,-1.407652975228037,-1175.3511896215534,188.0,0.7180851063829787,0.6991194221826458,65.0,190.0,45.0,0.0
520,-3052.0,487.0,3546.0,-0.8606880992667795,-1.536267432641025,-1358.5462625457947,188.0,0.7393617021276596,0.6738897232353572,55.0,180.0,45.0,0.0
257,-3046.0,469.0,3522.0,-0.8648495173197047,-1.5412534035120649,-1324.3734258414424,188.0,0.7553191489361702,0.648664343786295,45.0,160.0,50.0,0.0
664,-3046.0,512.0,3565.0,-0.8544179523141655,-1.4032483681997776,-1186.1357331097824,188.0,0.7287234042553191,0.6925813008130081,60.0,200.0,50.0,0.0
499,-3044.0,591.0,3642.0,-0.8358045030203185,-1.4062823321535334,-1228.1803630233107,188.0,0.7287234042553191,0.678575225943647,55.0,160.0,50.0,0.0
864,-3041.0,228.0,3350.0,-0.9077611940298508,-2.1482508542355117,-1551.693389344585,194.0,0.6907216494845361,0.7117220313096602,70.0,160.0,60.0,0.0
259,-3041.0,232.0,3387.0,-0.8978447003247711,-2.20362670552037,-1704.8538875174263,194.0,0.7731958762886598,0.6440777843252798,45.0,160.0,60.0,0.0
301,-3040.0,392.0,3439.0,-0.8839779005524862,-1.5057615341469486,-1313.4000389052796,188.0,0.7606382978723404,0.6519884726224784,45.0,200.0,50.0,0.0
935,-3031.0,290.0,3338.0,-0.9080287597363691,-1.6554817299993305,-1323.3312691921133,168.0,0.7083333333333334,0.6853305785123966,70.0,230.0,30.0,0.0
885,-3020.0,250.0,3361.0,-0.8985421005653079,-1.8906555823426687,-1633.602063832448,192.0,0.703125,0.7161381921438713,70.0,180.0,55.0,0.0
629,-3015.0,456.0,3478.0,-0.866877515813686,-1.5795099892072983,-1402.9451945032397,184.0,0.7336956521739131,0.6831275720164609,60.0,170.0,40.0,0.0
248,-3011.0,232.0,3339.0,-0.9017669961066187,-2.176144739201781,-1634.4610414572805,194.0,0.7731958762886598,0.6476134354743665,45.0,150.0,60.0,0.0
840,-3010.0,614.0,3631.0,-0.8289727347838061,-1.3033030281008513,-1121.894525008221,188.0,0.7340425531914894,0.7135052238090674,65.0,250.0,50.0,0.0
865,-3009.0,299.0,3372.0,-0.8923487544483986,-2.148891207890518,-1571.528722748936,194.0,0.6958762886597938,0.7199398326595845,70.0,160.0,65.0,0.0
630,-2998.0,450.0,3455.0,-0.8677279305354558,-1.5717471202826547,-1290.2109082993297,188.0,0.723404255319149,0.6869036384607319,60.0,170.0,45.0,0.0
733,-2996.0,276.0,3318.0,-0.9029535864978903,-2.119818877930802,-1551.7628260054005,194.0,0.7010309278350515,0.7130695559640128,65.0,150.0,65.0,0.0
388,-2995.0,504.0,3506.0,-0.8542498573873359,-1.4985836336645246,-1375.2126914579753,188.0,0.75,0.6681499610635221,50.0,170.0,45.0,0.0
618,-2993.0,620.0,3620.0,-0.8267955801104973,-1.4847849403436981,-1339.9959519982956,184.0,0.7282608695652174,0.6832766680832979,60.0,160.0,40.0,0.0
753,-2990.0,246.0,3327.0,-0.898707544334235,-1.8940311533321355,-1584.3247710841142,192.0,0.7083333333333334,0.7102566604859959,65.0,170.0,55.0,0.0
641,-2982.0,458.0,3447.0,-0.8651000870322019,-1.510463479401453,-1237.1005145686377,188.0,0.723404255319149,0.6885813148788927,60.0,180.0,45.0,0.0
399,-2979.0,512.0,3498.0,-0.8516295025728988,-1.4455255649402732,-1322.1022977272833,188.0,0.75,0.6699299143397486,50.0,180.0,45.0,0.0
960,-2977.0,617.0,3601.0,-0.8267148014440433,-1.384096338474211,-1198.0313419079334,188.0,0.7127659574468085,0.7165120948465437,70.0,250.0,45.0,0.0
488,-2973.0,581.0,3561.0,-0.8348778433024431,-1.4111914027329924,-1169.6539977490518,188.0,0.723404255319149,0.6837707552222817,55.0,150.0,50.0,0.0
378,-2965.0,441.0,3413.0,-0.8687371813653677,-1.4679548696065134,-1222.8245557156024,188.0,0.7393617021276596,0.6741921204072598,50.0,160.0,50.0,0.0
653,-2961.0,482.0,3450.0,-0.8582608695652174,-1.3887801581955486,-1123.2382346266252,188.0,0.7287234042553191,0.7012195121951219,60.0,190.0,50.0,0.0
742,-2960.0,334.0,3375.0,-0.8770370370370371,-1.7814464203016325,-1538.9238290205597,192.0,0.703125,0.7110696028313016,65.0,160.0,55.0,0.0
828,-2958.0,638.0,3603.0,-0.8209825145711906,-1.2811659179972938,-1114.5407741224312,188.0,0.723404255319149,0.7105806071323313,65.0,240.0,45.0,0.0
806,-2958.0,533.0,3498.0,-0.8456260720411664,-1.4031276349436193,-1178.7073998767999,188.0,0.7180851063829787,0.7085188483229445,65.0,220.0,45.0,0.0
827,-2950.0,659.0,3616.0,-0.8158185840707964,-1.4217230220249357,-1327.2684603235623,184.0,0.7336956521739131,0.708820614469772,65.0,240.0,40.0,0.0
