,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5
11066,-4101.0,496.0,4669.0,-0.8783465410152067,-2.3604510906629317,-2358.9459619952495,362.0,0.7430939226519337,0.6879508010022019,50.0,180.0,140.0,10.0,3.0
12026,-3987.0,511.0,4555.0,-0.8753018660812294,-2.2936888691219077,-2260.6885163530055,362.0,0.7458563535911602,0.6977764332173649,50.0,200.0,140.0,10.0,3.0
10586,-3982.0,438.0,4492.0,-0.8864648263579697,-2.5366428321144974,-2365.9967682258357,363.0,0.7382920110192838,0.6952271859488354,50.0,170.0,140.0,10.0,3.0
11042,-3977.0,467.0,4489.0,-0.8859434172421474,-2.4325157423450463,-2274.949513520921,382.0,0.743455497382199,0.7139781859931114,50.0,180.0,130.0,10.0,3.0
15899,-3960.0,330.0,4309.0,-0.9190067300997912,-2.1283024645862683,-2326.031986570437,296.0,0.6959459459459459,0.661683041435284,60.0,130.0,150.0,19.0,3.0
12002,-3946.0,486.0,4462.0,-0.8843567906768265,-2.3190527484790033,-2199.410503837018,381.0,0.7480314960629921,0.7172374347608493,50.0,200.0,130.0,10.0,3.0
3866,-3943.0,438.0,4469.0,-0.8823002908928171,-2.3517257566818954,-2208.4771834460075,375.0,0.7653333333333333,0.6915873263617918,40.0,180.0,140.0,10.0,3.0
11546,-3925.0,496.0,4493.0,-0.8735811261963053,-2.4181082919296055,-2274.5320550886167,362.0,0.7430939226519337,0.7009956677054039,50.0,190.0,140.0,10.0,3.0
10562,-3903.0,410.0,4358.0,-0.8955943093162001,-2.6009568183430223,-2295.843150465924,383.0,0.7389033942558747,0.7177489177489178,50.0,170.0,130.0,10.0,3.0
15923,-3896.0,330.0,4245.0,-0.9177856301531213,-1.9491153078489318,-2190.6129065412024,287.0,0.6933797909407665,0.6514270376666368,60.0,130.0,160.0,19.0,3.0
10106,-3890.0,432.0,4503.0,-0.8638685320897179,-2.4848460304361324,-2307.1795404714053,364.0,0.7362637362637363,0.7031142922409198,50.0,160.0,140.0,10.0,3.0
17777,-3883.0,347.0,4260.0,-0.9115023474178404,-2.1786590839949493,-2257.8051228759364,318.0,0.6729559748427673,0.6928797468354431,60.0,170.0,130.0,25.0,3.0
9626,-3848.0,419.0,4434.0,-0.8678394226432116,-2.545565364729429,-2273.45635391924,365.0,0.7315068493150685,0.7051223241590214,50.0,150.0,140.0,10.0,3.0
10082,-3844.0,406.0,4404.0,-0.8728428701180745,-2.5457520760185597,-2262.4007514160426,384.0,0.7369791666666666,0.7227658655921715,50.0,160.0,130.0,10.0,3.0
12506,-3842.0,538.0,4437.0,-0.8659003831417624,-2.2919975708300067,-2164.7347090261283,362.0,0.7458563535911602,0.7088971199637161,50.0,210.0,140.0,10.0,3.0
4826,-3837.0,457.0,4358.0,-0.8804497475906379,-2.285544709358895,-2115.4005572811984,375.0,0.768,0.7010493587252234,40.0,200.0,140.0,10.0,3.0
17297,-3827.0,347.0,4228.0,-0.9051561021759698,-2.2107338437684776,-2281.0738740179063,317.0,0.6719242902208202,0.696156289707751,60.0,160.0,130.0,25.0,3.0
13442,-3826.0,429.0,4285.0,-0.8928821470245041,-2.57064875770076,-2231.415494244473,378.0,0.7513227513227513,0.7246355999138364,50.0,230.0,130.0,10.0,3.0
11090,-3819.0,496.0,4395.0,-0.8689419795221843,-2.185860116588182,-2154.601772336927,341.0,0.7448680351906158,0.6912973408541498,50.0,180.0,150.0,10.0,3.0
11522,-3816.0,467.0,4328.0,-0.8817005545286506,-2.491467376305256,-2191.8760163530055,382.0,0.743455497382199,0.7252549920988364,50.0,190.0,130.0,10.0,3.0
1466,-3811.0,336.0,4364.0,-0.8732813932172319,-2.440478664733196,-2157.8104901333822,382.0,0.7460732984293194,0.6988094299455965,40.0,130.0,140.0,10.0,3.0
9602,-3805.0,393.0,4338.0,-0.8771323190410327,-2.5956642574557134,-2220.595434405262,385.0,0.7324675324675325,0.7245214879017695,50.0,150.0,130.0,10.0,3.0
3386,-3799.0,381.0,4268.0,-0.8901124648547329,-2.521056064558159,-2191.9252580851453,376.0,0.7606382978723404,0.7010519704820223,40.0,170.0,140.0,10.0,3.0
