,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
0,1519.0,1666.0,604.0,2.5149006622516556,1.4322402631419686,783.1823746971049,120.0,0.6333333333333333,1.3962953300286982,40.0,170.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
1,1501.0,1578.0,442.0,3.3959276018099547,1.2897760712099924,726.5789185052927,120.0,0.6166666666666667,1.4076588810429114,40.0,140.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
2,1319.0,1416.0,442.0,2.984162895927602,1.2815028067428373,642.984517280959,120.0,0.6166666666666667,1.3582292232482347,40.0,130.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
3,1316.0,1386.0,640.0,2.05625,1.2755289991993823,621.3932534115546,120.0,0.6333333333333333,1.3433342029741717,40.0,160.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
4,1286.0,1356.0,650.0,1.9784615384615385,1.2220649260774612,578.2633847723505,120.0,0.625,1.3433911882510015,40.0,150.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
5,1269.0,1430.0,336.0,3.7767857142857144,1.0468384846874736,551.9991965310547,75.0,0.6133333333333333,1.5935453695042094,40.0,140.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
6,1224.0,1407.0,349.0,3.507163323782235,1.1237802861894803,585.9137865068232,75.0,0.6,1.52599914052428,50.0,140.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
7,1205.0,1300.0,251.0,4.800796812749004,1.3348640592327885,589.6061599285805,64.0,0.609375,1.6743144935646335,40.0,140.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
8,1190.0,1285.0,299.0,3.979933110367893,1.379005322875215,589.8086851166943,64.0,0.640625,1.6140350877192984,40.0,170.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
9,1182.0,1353.0,412.0,2.8689320388349513,1.4877072845464214,655.2067593419207,64.0,0.625,1.5525946704067322,50.0,170.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
10,1172.0,1269.0,493.0,2.3772819472616633,1.2632447291747577,572.3498278280831,120.0,0.6083333333333333,1.32242090784044,40.0,120.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
11,1153.0,1314.0,336.0,3.431547619047619,1.0441395057879788,503.7899502614462,75.0,0.6133333333333333,1.5392890551917682,40.0,130.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
12,1148.0,1257.0,297.0,3.8653198653198655,1.4347126824200178,622.6474939420992,64.0,0.59375,1.5774647887323945,50.0,140.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
13,1108.0,1291.0,349.0,3.174785100286533,1.1231528831764885,537.7045402372146,75.0,0.6,1.4761495487752472,50.0,130.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
14,1103.0,1443.0,716.0,1.5405027932960893,1.516401071897417,614.6974237979849,118.0,0.635593220338983,1.2598963242224317,50.0,170.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
15,1087.0,1182.0,251.0,4.330677290836653,1.369074696060512,548.2856013263614,64.0,0.609375,1.6082820369334079,40.0,130.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
16,1087.0,1246.0,493.0,2.204868154158215,1.422568677699505,605.5195510776687,120.0,0.6,1.3031232571109872,40.0,110.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
17,1077.0,1230.0,560.0,1.9232142857142858,1.3290865382679686,552.8161714067083,118.0,0.6186440677966102,1.2631321768873687,50.0,140.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
