,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
42,-938.0,265.0,1267.0,-0.7403314917127072,-1.217987878157945,-390.49818210449774,71.0,0.7887323943661971,0.5799373040752351,30.0,180.0,260.0,50.0
63,-925.0,278.0,1267.0,-0.7300710339384373,-1.1774563671122564,-377.5002246316735,71.0,0.7887323943661971,0.5857590685176892,30.0,185.0,260.0,50.0
84,-891.0,278.0,1233.0,-0.7226277372262774,-1.1725465906040669,-362.50802421390495,71.0,0.7887323943661971,0.5984677782785038,30.0,190.0,260.0,50.0
105,-882.0,285.0,1231.0,-0.7164906580016247,-1.1506566471982378,-354.9621507209056,71.0,0.7887323943661971,0.6025236593059937,30.0,195.0,260.0,50.0
126,-856.0,285.0,1205.0,-0.7103734439834025,-1.1295779915635866,-340.55466886512374,71.0,0.7887323943661971,0.6142406489409644,30.0,200.0,260.0,50.0
21,-835.0,272.0,1171.0,-0.713065755764304,-1.0386849585104216,-312.34811888341846,71.0,0.7887323943661971,0.6260635915808329,30.0,175.0,260.0,50.0
168,-834.0,299.0,1197.0,-0.6967418546365914,-1.0855006044526327,-324.3687988921258,71.0,0.7887323943661971,0.6241550247859396,30.0,210.0,260.0,50.0
147,-834.0,299.0,1197.0,-0.6967418546365914,-1.0855006044526327,-324.3687988921258,71.0,0.7887323943661971,0.6241550247859396,30.0,205.0,260.0,50.0
189,-829.0,299.0,1192.0,-0.6954697986577181,-1.085230118462282,-322.59558425077233,71.0,0.7887323943661971,0.6264082920234341,30.0,215.0,260.0,50.0
294,-827.0,332.0,1223.0,-0.6762060506950123,-1.073029181920476,-317.7343093618145,71.0,0.7464788732394366,0.6471843003412969,35.0,180.0,260.0,50.0
315,-768.0,391.0,1223.0,-0.6279640228945217,-0.9440850000928799,-273.80428791759493,71.0,0.7464788732394366,0.6723549488054608,35.0,185.0,260.0,50.0
210,-758.0,346.0,1168.0,-0.648972602739726,-0.9023680563343168,-262.5489859153625,71.0,0.7887323943661971,0.658404686795854,30.0,220.0,260.0,50.0
231,-749.0,346.0,1159.0,-0.6462467644521139,-0.9030217624417064,-260.08754614212467,71.0,0.7887323943661971,0.6624605678233438,30.0,225.0,260.0,50.0
336,-734.0,403.0,1201.0,-0.611157368859284,-0.9213099660542328,-258.8120874998263,71.0,0.7464788732394366,0.6849785407725322,35.0,190.0,260.0,50.0
357,-725.0,410.0,1199.0,-0.6046705587989991,-0.8964239365491624,-251.26621400682694,71.0,0.7464788732394366,0.6888412017167382,35.0,195.0,260.0,50.0
273,-724.0,442.0,1230.0,-0.5886178861788618,-0.8366732895332057,-239.58424614073522,71.0,0.7464788732394366,0.6911262798634813,35.0,175.0,260.0,50.0
378,-699.0,428.0,1191.0,-0.5869017632241813,-0.857484072483305,-236.8587321510451,71.0,0.7464788732394366,0.7,35.0,200.0,260.0,50.0
420,-677.0,442.0,1183.0,-0.5722738799661876,-0.8058957738656097,-220.67286217804724,71.0,0.7464788732394366,0.7094420600858369,35.0,210.0,260.0,50.0
399,-677.0,442.0,1183.0,-0.5722738799661876,-0.8058957738656097,-220.67286217804724,71.0,0.7464788732394366,0.7094420600858369,35.0,205.0,260.0,50.0
441,-672.0,443.0,1179.0,-0.5699745547073791,-0.8031448528506562,-218.8996475366937,71.0,0.7464788732394366,0.711587982832618,35.0,215.0,260.0,50.0
1806,-637.0,265.0,966.0,-0.6594202898550725,-1.1668439226792648,-283.8927789022227,71.0,0.6056338028169014,0.804601226993865,65.0,180.0,260.0,50.0
1554,-616.0,281.0,961.0,-0.6409989594172737,-0.9144966944053903,-229.19485060835814,71.0,0.6197183098591549,0.8081594518841482,60.0,180.0,260.0,50.0
0,-615.0,254.0,933.0,-0.6591639871382636,-1.1948148658617832,-250.6316318448976,71.0,0.7746478873239436,0.7147495361781075,30.0,170.0,260.0,50.0
462,-601.0,506.0,1171.0,-0.5132365499573015,-0.5904234545842698,-158.85304920128388,71.0,0.7464788732394366,0.7420600858369099,35.0,220.0,260.0,50.0
483,-592.0,506.0,1162.0,-0.5094664371772806,-0.5869155828002668,-156.39160942804608,71.0,0.7464788732394366,0.7459227467811158,35.0,225.0,260.0,50.0
1785,-538.0,322.0,924.0,-0.5822510822510822,-0.8041097275905251,-207.1051924653442,71.0,0.6056338028169014,0.8349693251533742,65.0,175.0,260.0,50.0
1827,-536.0,278.0,912.0,-0.5877192982456141,-0.8660579304530286,-216.36018415165648,71.0,0.6056338028169014,0.8355828220858896,65.0,185.0,260.0,50.0
1533,-517.0,391.0,972.0,-0.5318930041152263,-0.5742234730094947,-152.40726417147965,71.0,0.6197183098591549,0.8389909685456244,60.0,175.0,260.0,50.0
252,-517.0,406.0,987.0,-0.5238095238095238,-0.9051822083498292,-186.60949751978842,71.0,0.7323943661971831,0.7719453021614469,35.0,170.0,260.0,50.0
1575,-515.0,347.0,926.0,-0.5561555075593952,-0.6293531462585604,-161.66225585779193,71.0,0.6197183098591549,0.8396138274680784,60.0,185.0,260.0,50.0
198,-515.0,359.0,910.0,-0.5659340659340659,-0.3885767583901104,-95.81198560504657,53.0,0.7735849056603774,0.6880678376741368,30.0,215.0,290.0,50.0
201,-496.0,302.0,834.0,-0.5947242206235012,-0.6015421740434579,-125.35837783510645,52.0,0.75,0.6842775302355187,30.0,215.0,300.0,50.0
1848,-486.0,306.0,896.0,-0.5424107142857143,-0.7498923704126162,-187.32042202965138,71.0,0.6056338028169014,0.8502772643253235,65.0,190.0,260.0,50.0
1869,-483.0,340.0,896.0,-0.5390625,-0.6715546706838742,-173.51629158580698,71.0,0.6056338028169014,0.8512014787430683,65.0,195.0,260.0,50.0
1302,-465.0,377.0,906.0,-0.5132450331125827,-0.5399158870011108,-131.44348776567907,71.0,0.6197183098591549,0.8480392156862745,55.0,180.0,260.0,50.0
1596,-465.0,375.0,904.0,-0.5143805309734514,-0.5169896759645766,-132.62249373578683,71.0,0.6197183098591549,0.8545511416953393,60.0,190.0,260.0,50.0
1617,-462.0,409.0,935.0,-0.49411764705882355,-0.4474407028308707,-118.81836329194243,71.0,0.6197183098591549,0.8554895214263372,60.0,195.0,260.0,50.0
1974,-454.0,346.0,1077.0,-0.4215413184772516,-0.7307978774735056,-197.9847667304281,71.0,0.6056338028169014,0.8601355514479359,65.0,220.0,260.0,50.0
219,-452.0,422.0,910.0,-0.4967032967032967,-0.15593950286223934,-37.95342945407556,53.0,0.7735849056603774,0.7262265293761357,30.0,220.0,290.0,50.0
240,-452.0,422.0,910.0,-0.4967032967032967,-0.15593950286223934,-37.95342945407556,53.0,0.7735849056603774,0.7262265293761357,30.0,225.0,290.0,50.0
1995,-441.0,346.0,1077.0,-0.40947075208913647,-0.7105525766770945,-192.93091070775188,71.0,0.6056338028169014,0.8641404805914972,65.0,225.0,260.0,50.0
270,-439.0,231.0,698.0,-0.6289398280802292,-0.25035146539758774,-46.82596371619525,43.0,0.7674418604651163,0.6919298245614035,35.0,170.0,320.0,50.0
312,-436.0,242.0,706.0,-0.6175637393767706,-0.22486517670851786,-42.31566076448874,43.0,0.7674418604651163,0.6940350877192982,35.0,180.0,320.0,50.0
1722,-433.0,365.0,1008.0,-0.42956349206349204,-0.5223163762747278,-143.28683843656356,71.0,0.6197183098591549,0.8645605254926494,60.0,220.0,260.0,50.0
222,-433.0,365.0,834.0,-0.5191846522781774,-0.3279134103651668,-67.49982168413544,52.0,0.75,0.7243793761935073,30.0,220.0,300.0,50.0
243,-433.0,365.0,834.0,-0.5191846522781774,-0.3279134103651668,-67.49982168413544,52.0,0.75,0.7243793761935073,30.0,225.0,300.0,50.0
456,-429.0,398.0,863.0,-0.49710312862108924,-0.30132092341408306,-66.02923917020597,48.0,0.75,0.7313713212273012,35.0,215.0,310.0,50.0
291,-428.0,242.0,698.0,-0.6131805157593123,-0.1915497738379299,-35.827533822119506,43.0,0.7674418604651163,0.6996491228070175,35.0,175.0,320.0,50.0
333,-423.0,255.0,706.0,-0.5991501416430595,-0.15579478650235562,-29.317703291664543,43.0,0.7674418604651163,0.7031578947368421,35.0,185.0,320.0,50.0
18,-422.0,246.0,668.0,-0.6317365269461078,-0.17193479458600014,-31.167677123232473,43.0,0.7906976744186046,0.6912948061448427,30.0,170.0,320.0,50.0
354,-421.0,255.0,704.0,-0.5980113636363636,-0.1519207001890785,-28.47511683162814,43.0,0.7674418604651163,0.7045614035087719,35.0,190.0,320.0,50.0
1890,-420.0,358.0,896.0,-0.46875,-0.5647281529812223,-146.1663617542576,71.0,0.6056338028169014,0.8706099815157117,65.0,200.0,260.0,50.0
1743,-420.0,369.0,1008.0,-0.4166666666666667,-0.5032422515317165,-138.23298241388733,71.0,0.6197183098591549,0.8686268376603066,60.0,225.0,260.0,50.0
60,-419.0,257.0,676.0,-0.6198224852071006,-0.14608688658556448,-26.657374171525966,43.0,0.7906976744186046,0.6934893928310168,30.0,180.0,320.0,50.0
