,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
3929,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,230.0,265.0,0.0
3769,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,190.0,265.0,0.0
4169,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,290.0,265.0,0.0
4149,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,285.0,265.0,0.0
3949,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,235.0,265.0,0.0
3749,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,185.0,265.0,0.0
3809,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,200.0,265.0,0.0
4129,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,280.0,265.0,0.0
3729,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,180.0,265.0,0.0
3829,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,205.0,265.0,0.0
3709,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,175.0,265.0,0.0
4109,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,275.0,265.0,0.0
4089,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,270.0,265.0,0.0
3689,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,170.0,265.0,0.0
4189,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,295.0,265.0,0.0
3849,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,210.0,265.0,0.0
4049,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,260.0,265.0,0.0
3969,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,240.0,265.0,0.0
3909,-431.0,0.0,472.0,-0.913135593220339,-2.952185676646918,-318.7073211399247,19.0,0.6842105263157895,0.47630619684082626,65.0,225.0,265.0,0.0
